2016-05-17 19:47:29,018 p=25410 u=issdm |  PLAY [localhost] ***************************************************************
2016-05-17 19:47:29,038 p=25410 u=issdm |  TASK [setup] *******************************************************************
2016-05-17 19:47:30,090 p=25410 u=issdm |  ok: [localhost]
2016-05-17 19:47:30,095 p=25410 u=issdm |  TASK [delete the config directory on the ansible server] ***********************
2016-05-17 19:47:30,279 p=25410 u=issdm |  changed: [localhost]
2016-05-17 19:47:30,292 p=25410 u=issdm |  PLAY [all] *********************************************************************
2016-05-17 19:47:30,308 p=25410 u=issdm |  TASK [setup] *******************************************************************
2016-05-17 19:47:33,458 p=25410 u=issdm |  ok: [issdm-3]
2016-05-17 19:47:34,125 p=25410 u=issdm |  ok: [issdm-11]
2016-05-17 19:47:34,263 p=25410 u=issdm |  ok: [issdm-0]
2016-05-17 19:47:34,336 p=25410 u=issdm |  ok: [issdm-1]
2016-05-17 19:47:34,359 p=25410 u=issdm |  TASK [cleanup : remove containers [u'piha.soe.ucsc.edu:5000/zlog/ceph:jewel', u'piha.soe.ucsc.edu:5000/zlog/client:jewel', u'piha.soe.ucsc.edu:5000/zlog/sequencer:jewel', u'michaelsevilla/graphite', u'michaelsevilla/collectl', u'michaelsevilla/mdtest']] ***
2016-05-17 19:47:34,913 p=25410 u=issdm |  ok: [issdm-11] => (item=piha.soe.ucsc.edu:5000/zlog/ceph:jewel)
2016-05-17 19:47:35,022 p=25410 u=issdm |  changed: [issdm-3] => (item=piha.soe.ucsc.edu:5000/zlog/ceph:jewel)
2016-05-17 19:47:35,138 p=25410 u=issdm |  changed: [issdm-0] => (item=piha.soe.ucsc.edu:5000/zlog/ceph:jewel)
2016-05-17 19:47:35,390 p=25410 u=issdm |  ok: [issdm-11] => (item=piha.soe.ucsc.edu:5000/zlog/client:jewel)
2016-05-17 19:47:35,486 p=25410 u=issdm |  ok: [issdm-3] => (item=piha.soe.ucsc.edu:5000/zlog/client:jewel)
2016-05-17 19:47:35,579 p=25410 u=issdm |  ok: [issdm-0] => (item=piha.soe.ucsc.edu:5000/zlog/client:jewel)
2016-05-17 19:47:35,859 p=25410 u=issdm |  ok: [issdm-11] => (item=piha.soe.ucsc.edu:5000/zlog/sequencer:jewel)
2016-05-17 19:47:35,932 p=25410 u=issdm |  ok: [issdm-3] => (item=piha.soe.ucsc.edu:5000/zlog/sequencer:jewel)
2016-05-17 19:47:36,016 p=25410 u=issdm |  ok: [issdm-0] => (item=piha.soe.ucsc.edu:5000/zlog/sequencer:jewel)
2016-05-17 19:47:36,335 p=25410 u=issdm |  ok: [issdm-11] => (item=michaelsevilla/graphite)
2016-05-17 19:47:36,381 p=25410 u=issdm |  ok: [issdm-3] => (item=michaelsevilla/graphite)
2016-05-17 19:47:36,456 p=25410 u=issdm |  ok: [issdm-0] => (item=michaelsevilla/graphite)
2016-05-17 19:47:36,808 p=25410 u=issdm |  ok: [issdm-11] => (item=michaelsevilla/collectl)
2016-05-17 19:47:36,839 p=25410 u=issdm |  ok: [issdm-3] => (item=michaelsevilla/collectl)
2016-05-17 19:47:36,912 p=25410 u=issdm |  ok: [issdm-0] => (item=michaelsevilla/collectl)
2016-05-17 19:47:37,271 p=25410 u=issdm |  ok: [issdm-11] => (item=michaelsevilla/mdtest)
2016-05-17 19:47:37,292 p=25410 u=issdm |  ok: [issdm-3] => (item=michaelsevilla/mdtest)
2016-05-17 19:47:37,350 p=25410 u=issdm |  ok: [issdm-0] => (item=michaelsevilla/mdtest)
2016-05-17 19:47:40,279 p=25410 u=issdm |  changed: [issdm-1] => (item=piha.soe.ucsc.edu:5000/zlog/ceph:jewel)
